repo	file	cls	methods	context
RoaringBitmap	fuzz-tests/src/test/java/org/roaringbitmap/BufferFuzzer.java	test		public class BufferFuzzer
RoaringBitmap	fuzz-tests/src/test/java/org/roaringbitmap/Fuzzer.java	test		public class Fuzzer
RoaringBitmap	jmh/src/jmh/java/org/roaringbitmap/BitSetUtilBenchmark.java	test		public class BitSetUtilBenchmark
RoaringBitmap	jmh/src/jmh/java/org/roaringbitmap/iteration/BitmapNextBenchmark.java	test		public class BitmapNextBenchmark
RoaringBitmap	jmh/src/jmh/java/org/roaringbitmap/iteration/Concatenation.java	test		Using lots and lots of parameter sets is clever, but it takes a long
RoaringBitmap	jmh/src/jmh/java/org/roaringbitmap/map/MapBenchmark.java	test		public class MapBenchmark
RoaringBitmap	roaringbitmap/src/main/java/org/roaringbitmap/BitSetUtil.java	impl	BitSet(int); get(int); cardinality(); toLongArray(); valueOf(long[])	Convert a {@link RoaringBitmap} to a {@link BitSet}
RoaringBitmap	roaringbitmap/src/main/java/org/roaringbitmap/RoaringBitSet.java	impl	and(); or(); xor(); andNot(); intersects(); toByteArray(); toLongArray(); clone(); equals()	A {@link BitSet} implementation based on {@link RoaringBitmap}
RoaringBitmap	roaringbitmap/src/main/java/org/roaringbitmap/buffer/BufferBitSetUtil.java	impl	get(int); cardinality(); toLongArray()	Generate a MutableRoaringBitmap out of a BitSet
RoaringBitmap	roaringbitmap/src/test/java/org/roaringbitmap/TestBitSetUtil.java	test		public class TestBitSetUtil
RoaringBitmap	roaringbitmap/src/test/java/org/roaringbitmap/TestRange.java	test		public class TestRange
RoaringBitmap	roaringbitmap/src/test/java/org/roaringbitmap/TestRoaringBitmap.java	test		Generic testing of the roaring bitmaps
RoaringBitmap	roaringbitmap/src/test/java/org/roaringbitmap/TestRunContainer.java	test		generates randomly N distinct integers from 0 to Max
RoaringBitmap	roaringbitmap/src/test/java/org/roaringbitmap/buffer/TestBitSetUtil.java	test		public class TestBitSetUtil
RoaringBitmap	roaringbitmap/src/test/java/org/roaringbitmap/buffer/TestImmutableRoaringBitmap.java	test		Generic testing of the roaring bitmaps
RoaringBitmap	roaringbitmap/src/test/java/org/roaringbitmap/buffer/TestRange.java	test		public class TestRange
RoaringBitmap	roaringbitmap/src/test/java/org/roaringbitmap/buffer/TestRoaringBitmap.java	test		Generic testing of the roaring bitmaps
RoaringBitmap	roaringbitmap/src/test/java/org/roaringbitmap/buffer/TestRunContainer.java	test		generates randomly N distinct integers from 0 to Max
androidx	core/core-backported-fixes/src/main/java/androidx/core/backported/fixes/SystemPropertyResolver.kt	use	valueOf(long[])	Resolves the status of a [KnownIssue] using `ro.build.backported_fixes.alias_bitset.long_list`
androidx	pdf/pdf-ink/src/main/kotlin/androidx/pdf/ink/EditableDocumentViewModel.kt	use	BitSet()	Fetches annotations from the [PdfAnnotationsManager] for the defined page range
androidx	profileinstaller/profileinstaller/src/main/java/androidx/profileinstaller/ProfileTranscoder.java	use	valueOf(long[])	Transcode (or convert) a binary profile from one format version to another
androidx	recyclerview/recyclerview/src/androidTest/java/androidx/recyclerview/widget/AsyncListUtilLayoutTest.java	test		public class AsyncListUtilLayoutTest
androidx	recyclerview/recyclerview/src/androidTest/java/androidx/recyclerview/widget/GridLayoutManagerBaseConfigSetTest.java	test		public class GridLayoutManagerBaseConfigSetTest
androidx	recyclerview/recyclerview/src/androidTest/java/androidx/recyclerview/widget/StaggeredGridLayoutManagerBaseConfigSetTest.java	test		public class StaggeredGridLayoutManagerBaseConfigSetTest
androidx	recyclerview/recyclerview/src/main/java/androidx/recyclerview/widget/StaggeredGridLayoutManager.java	use	BitSet(int); get(int); set(int,bool); set(from,to,bool); clear(); clear(int); isEmpty()	A LayoutManager that lays out children in a staggered grid formation
antlr4	runtime/Java/src/org/antlr/v4/runtime/ANTLRErrorListener.java	use		Upon syntax error, notify any interested parties. This is not how to
antlr4	runtime/Java/src/org/antlr/v4/runtime/BaseErrorListener.java	use		Provides an empty default implementation of {@link ANTLRErrorListener}. The
antlr4	runtime/Java/src/org/antlr/v4/runtime/DiagnosticErrorListener.java	use	BitSet(); set(int)	This implementation of {@link ANTLRErrorListener} can be used to identify
antlr4	runtime/Java/src/org/antlr/v4/runtime/ProxyErrorListener.java	use		This implementation of {@link ANTLRErrorListener} dispatches all calls to a
antlr4	runtime/Java/src/org/antlr/v4/runtime/atn/ATNConfigSet.java	use	BitSet(); set(int)	Specialized {@link Set}{@code <}{@link ATNConfig}{@code >} that can track
antlr4	runtime/Java/src/org/antlr/v4/runtime/atn/AmbiguityInfo.java	use		This class represents profiling event information for an ambiguity
antlr4	runtime/Java/src/org/antlr/v4/runtime/atn/LL1Analyzer.java	use	BitSet(); get(int); set(int); clear(int)	Calculates the SLL(1) expected lookahead set for each outgoing transition
antlr4	runtime/Java/src/org/antlr/v4/runtime/atn/PredictionMode.java	use	BitSet(); get(int); set(int); or(); nextSetBit(); cardinality(); equals()	This enumeration defines the prediction modes available in ANTLR 4 along with
antlr4	runtime/Java/src/org/antlr/v4/runtime/atn/ProfilingATNSimulator.java	use	nextSetBit()	@since 4.3
antlr4	runtime/Java/src/org/antlr/v4/runtime/misc/Utils.java	use	nextSetBit()	public class Utils
antlr4	tool-testsuite/test/org/antlr/v4/test/tool/TestPerformance.java	test		Parse all java files under this package within the JDK_SOURCE_ROOT
antlr4	tool/src/org/antlr/v4/tool/GrammarParserInterpreter.java	use	BitSet(int); get(int); set(int); nextSetBit(); size()	public class GrammarParserInterpreter
beam	runners/core-java/src/main/java/org/apache/beam/runners/core/triggers/FinishedTriggersBitSet.java	impl	BitSet(int); get(int); clone()	public class FinishedTriggersBitSet
beam	runners/core-java/src/main/java/org/apache/beam/runners/core/triggers/TriggerStateMachineRunner.java	use	isEmpty()	Executes a trigger while managing persistence of information about which subtriggers are
beam	sdks/java/core/src/main/java/org/apache/beam/sdk/coders/BitSetCoder.java	impl	toByteArray(); valueOf(long[])	public class BitSetCoder
beam	sdks/java/core/src/main/java/org/apache/beam/sdk/coders/CoderRegistry.java	use		A {@link CoderRegistry} allows creating a {@link Coder} for a given Java {@link Class class} or
beam	sdks/java/core/src/main/java/org/apache/beam/sdk/coders/RowCoderGenerator.java	use	BitSet(int); get(int); set(int)	A utility for automatically generating a {@link Coder} for {@link Row} objects corresponding to a
