repo	file	category	confidence	methods
androidx	core/core-backported-fixes/src/main/java/androidx/core/backported/fixes/SystemPropertyResolver.kt	Set membership / visited	low	valueOf(...)
androidx	pdf/pdf-ink/src/main/kotlin/androidx/pdf/ink/EditableDocumentViewModel.kt	Set membership / visited	low	BitSet()
androidx	profileinstaller/profileinstaller/src/main/java/androidx/profileinstaller/ProfileTranscoder.java	Set membership / visited	low	valueOf(...)
androidx	recyclerview/recyclerview/src/main/java/androidx/recyclerview/widget/StaggeredGridLayoutManager.java	Flag / feature storage	medium	BitSet(int); get(int); set(int,bool); set(from,to,bool); clear(); clear(int); isEmpty()
antlr4	runtime/Java/src/org/antlr/v4/runtime/ANTLRErrorListener.java	Set membership / visited	medium	
antlr4	runtime/Java/src/org/antlr/v4/runtime/BaseErrorListener.java	Set membership / visited	medium	
antlr4	runtime/Java/src/org/antlr/v4/runtime/DiagnosticErrorListener.java	Set membership / visited	medium	BitSet(); set(int)
antlr4	runtime/Java/src/org/antlr/v4/runtime/atn/ParserATNSimulator.java	Dataflow / liveness	high	BitSet(); get(int); cardinality(); nextSetBit()
antlr4	runtime/Java/src/org/antlr/v4/runtime/ProxyErrorListener.java	Set membership / visited	medium	
antlr4	runtime/Java/src/org/antlr/v4/runtime/atn/ATNConfigSet.java	Dataflow / liveness	high	BitSet(); set(int)
antlr4	runtime/Java/src/org/antlr/v4/runtime/atn/AmbiguityInfo.java	Dataflow / liveness	high	
antlr4	runtime/Java/src/org/antlr/v4/runtime/atn/LL1Analyzer.java	Dataflow / liveness	high	BitSet(); get(int); set(int); clear(int)
antlr4	runtime/Java/src/org/antlr/v4/runtime/atn/PredictionMode.java	Dataflow / liveness	high	BitSet(); get(int); set(int); or(); nextSetBit(); cardinality(); equals()
antlr4	runtime/Java/src/org/antlr/v4/runtime/atn/ProfilingATNSimulator.java	Dataflow / liveness	high	nextSetBit()
antlr4	runtime/Java/src/org/antlr/v4/runtime/misc/Utils.java	Dataflow / liveness	low	nextSetBit()
antlr4	tool/src/org/antlr/v4/tool/GrammarParserInterpreter.java	Dataflow / liveness	medium	BitSet(int); get(int); set(int); nextSetBit(); size()
beam	runners/core-java/src/main/java/org/apache/beam/runners/core/triggers/TriggerStateMachineRunner.java	Flag / feature storage	medium	isEmpty()
beam	sdks/java/core/src/main/java/org/apache/beam/sdk/coders/CoderRegistry.java	Serialization / wire protocol	medium	
beam	sdks/java/core/src/main/java/org/apache/beam/sdk/coders/RowCoderGenerator.java	Serialization / wire protocol	medium	BitSet(int); get(int); set(int)
beam	sdks/java/core/src/main/java/org/apache/beam/sdk/schemas/transforms/RenameFields.java	Set membership / visited	low	BitSet(int); get(int); isEmpty()
